,QCLN
symbol,QCLN
price,55.97
beta,0
volAvg,206596
mktCap,0
lastDiv,0.155
range,44.25-68.94
changes,2
companyName,First Trust NASDAQ Clean Edge Green Energy Index Fund
currency,USD
cik,
isin,US33733E5006
cusip,33733E500
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks and depositary receipts that comprise the index. The index is designed to track the performance of small, mid and large capitalization clean energy companies that are publicly traded in the United States. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/QCLN.png
ipoDate,2007-02-08
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
