,ULST
symbol,ULST
price,40.22
beta,0
volAvg,153996
mktCap,0
lastDiv,0.556
range,39.59-40.33
changes,0.015
companyName,SPDR SSgA Ultra Short Term Bond ETF
currency,USD
cik,
isin,US78467V7073
cusip,78467V707
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The Adviser invests, under normal circumstances, at least 80% of the fund's net assets (plus the amount of borrowings for investment purposes) in a portfolio of U.S. dollar-denominated investment-grade fixed income securities. The fund may also invest in exchange traded products (""ETPs""). It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ULST.png
ipoDate,2013-10-09
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
