,PZT
symbol,PZT
price,22.96
beta,0
volAvg,23903
mktCap,0
lastDiv,0.594
range,20.72-25.4
changes,0.07
companyName,Invesco New York AMT-Free Municipal Bond ETF
currency,USD
cik,
isin,US46138E5298
cusip,46138E529
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally will invest at least 80% of its total assets in the components of the underlying index. The index is composed of U.S. dollar-denominated, investment grade, tax-exempt debt publicly issued by New York or any U.S. territory and their political subdivisions, in the U.S. domestic market. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PZT.png
ipoDate,2007-10-11
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
