,LQD
symbol,LQD
price,110.87
beta,0
volAvg,17815829
mktCap,32540344446
lastDiv,3.1479999999999997
range,98.41-128.3
changes,0.79
companyName,iShares iBoxx $ Investment Grade Corporate Bond ETF
currency,USD
cik,
isin,US4642872422
cusip,464287242
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund will invest at least 80% of its assets in the component securities of the underlying index, and it will invest at least 90% of its assets in fixed income securities of the types included in the underlying index that the advisor believes will help the fund track the underlying index. The underlying index is designed to provide a broad representation of the U.S. dollar-denominated liquid investment-grade corporate bond market."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/LQD.png
ipoDate,2002-07-22
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
