,SPLG
symbol,SPLG
price,47.8
beta,0
volAvg,3669736
mktCap,0
lastDiv,0.7610000000000001
range,40.92-54.34
changes,0.69
companyName,SPDR Portfolio S&P 500 ETF
currency,USD
cik,
isin,US78464A8541
cusip,78464A854
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal market conditions, the fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index is designed to measure the performance of the large-capitalization segment of the U.S. equity market."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SPLG.png
ipoDate,2005-11-08
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
