,FCIQ.TO
symbol,FCIQ.TO
price,33.45
beta,0
volAvg,7525
mktCap,0
lastDiv,0.782
range,26.52-35.0
changes,0.07
companyName,Fidelity International High Quality Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FCIQ.TO.png
ipoDate,2019-01-24
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
