,FXP
symbol,FXP
price,27.41
beta,0
volAvg,22600
mktCap,35231279
lastDiv,0.021
range,25.09-75.0
changes,0.22
companyName,ProShares UltraShort FTSE China 50
currency,USD
cik,
isin,US74347B2271
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index consists of 50 of the largest and most liquid Chinese stocks listed and traded on the Stock Exchange of Hong Kong. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FXP.png
ipoDate,2007-11-08
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
