,XSTB.TO
symbol,XSTB.TO
price,18.97
beta,0
volAvg,4667
mktCap,0
lastDiv,0.3670000000000001
range,18.5-19.73
changes,0
companyName,iShares ESG Aware Canadian Short Term Bond Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XSTB.TO.png
ipoDate,2019-03-21
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
