,SJB
symbol,SJB
price,18.38
beta,0
volAvg,608452
mktCap,0
lastDiv,0.087
range,17.72-20.21
changes,-0.15
companyName,Proshares Short High Yield
currency,USD
cik,
isin,US74347R1317
cusip,74347R131
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index is a market-value weighted index designed to provide a balanced representation of U.S. dollar denominated high yield corporate bonds for sale within the U.S. by means of including the most liquid high yield corporate bonds available as determined by a set of transparent and objective index rules. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SJB.png
ipoDate,2011-03-21
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
