,PKB
symbol,PKB
price,45.35
beta,0
volAvg,7655
mktCap,170062500
lastDiv,0.176
range,35.16-48.53
changes,1.57
companyName,Invesco Dynamic Building & Construction ETF
currency,USD
cik,
isin,US46137V7799
cusip,46137V779
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying intellidex. The underlying intellidex was composed of common stocks of U.S. building and construction companies. These companies are engaged primarily in providing construction and related engineering services for building and remodeling residential properties, commercial or industrial buildings, etc. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PKB.png
ipoDate,2005-10-26
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
