,PKW
symbol,PKW
price,91.34
beta,0
volAvg,290052
mktCap,0
lastDiv,1.0450000000000002
range,73.8-94.84
changes,1.33
companyName,Invesco BuyBack Achievers ETF
currency,USD
cik,
isin,US46137V3087
cusip,46137V308
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. The NASDAQ includes common stocks in the underlying index pursuant to a proprietary selection methodology that identifies a universe of ""BuyBack Achievers TM""."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PKW.png
ipoDate,2006-12-20
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
