,JDST
symbol,JDST
price,6.54
beta,0
volAvg,4726326
mktCap,75210961
lastDiv,1.15
range,5.88-18.89
changes,-0.05
companyName,Direxion Daily Junior Gold Miners Index Bear 2X Shares
currency,USD
cik,0001424958
isin,US25460G8078
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in swap agreements, futures contracts, short positions or other financial instruments that, in combination, provide inverse (opposite) or short leveraged exposure to the index equal to at least 80% of the fund's net assets (plus borrowing for investment purposes). The index tracks the performance of foreign and domestic micro-, small- and mid-capitalization companies. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/JDST.png
ipoDate,2013-10-03
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
