,PFFA
symbol,PFFA
price,21.19
beta,0
volAvg,171006
mktCap,0
lastDiv,1.9580000000000002
range,17.93-24.52
changes,0.12
companyName,Virtus InfraCap U.S. Preferred Stock ETF
currency,USD
cik,
isin,US26923G8226
cusip,26923G822
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal market conditions, the fund will invest not less than 80% of its net assets (plus the amount of any borrowings for investment purposes) in U.S. preferred stock, and in derivatives and other instruments that have economic characteristics similar to such investments. The Sub-Adviser actively manages the fund's assets pursuant to a variety of quantitative, qualitative and relative valuation factors. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PFFA.png
ipoDate,2018-05-15
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
