,KEMX
symbol,KEMX
price,26.01
beta,0
volAvg,14855
mktCap,0
lastDiv,0.991
range,22.2-32.08
changes,-0.1296
companyName,KraneShares MSCI Emerging Markets ex China Index ETF
currency,USD
cik,
isin,US5007677694
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal circumstances, the fund will invest at least 80% of its net assets (plus borrowings for investment purposes) in instruments in its underlying index or in instruments that have economic characteristics similar to those in the underlying index. The underlying index is a free float-adjusted market capitalization weighted index designed to measure the equity market performance of mid- and large-cap companies of emerging market countries, excluding China."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/KEMX.png
ipoDate,2019-04-12
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
