,RWK
symbol,RWK
price,95.89
beta,0
volAvg,17259
mktCap,0
lastDiv,1.012
range,74.22-95.89
changes,2.5276
companyName,Invesco S&P MidCap 400 Revenue ETF
currency,USD
cik,
isin,US46138G6724
cusip,46138G672
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund generally will invest at least 90% of its total assets in the securities that comprise the index. The index is designed to measure the performance of positive revenue-producing constituent securities of the S&P MidCap 400 ® Index (the “Parent index”). The Parent index is comprised of common stocks of approximately 400 mid-capitalization companies that generally represent the mid-cap universe of the U.S. equity market.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/RWK.png
ipoDate,2008-02-22
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
