,RPG
symbol,RPG
price,157.25
beta,0
volAvg,107708
mktCap,0
lastDiv,1.128
range,138.73-190.41
changes,2.2
companyName,Invesco S&P 500 Pure Growth ETF
currency,USD
cik,
isin,US46137V2667
cusip,46137V266
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. The underlying index is composed of a subset of securities from the S&P 500® Index that exhibit strong growth characteristics.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/RPG.png
ipoDate,2006-03-01
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
