,XFN.TO
symbol,XFN.TO
price,47.79
beta,0
volAvg,253506
mktCap,1304667000
lastDiv,1.526
range,40.9-54.85
changes,0.49
companyName,iShares S&P/TSX Capped Financials Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XFN.TO.png
ipoDate,2001-03-29
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
