,FCOR
symbol,FCOR
price,46.75
beta,0
volAvg,51791
mktCap,64955619
lastDiv,1.517
range,42.3-53.58
changes,0.32
companyName,Fidelity Corporate Bond ETF
currency,USD
cik,
isin,US3161881012
cusip,316188101
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Normally, the fund invests at least 80% of its assets in investment-grade corporate bonds and other corporate debt securities and repurchase agreements for those securities. It is managed to have similar overall interest rate risk to the Bloomberg U.S. Credit Bond Index. The fund invests in lower-quality debt securities."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FCOR.png
ipoDate,2014-10-06
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
