,EWD
symbol,EWD
price,34.95
beta,0
volAvg,436381
mktCap,267367500
lastDiv,1.191
range,26.01-43.57
changes,-0.09
companyName,iShares MSCI Sweden ETF
currency,USD
cik,
isin,US4642867562
cusip,464286756
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index is designed to measure the performance of the large- and mid-capitalization segments of the Swedish equity market. The fund is non-diversified.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/EWD.png
ipoDate,1996-03-12
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
