,AIA
symbol,AIA
price,64.85
beta,0
volAvg,72791
mktCap,1115094323
lastDiv,1.468
range,44.42-79.21
changes,-0.71
companyName,iShares Asia 50 ETF
currency,USD
cik,
isin,US4642884302
cusip,464288430
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund generally will invest at least 80% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/AIA.png
ipoDate,2007-11-13
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
