,IBB
symbol,IBB
price,136.55
beta,0
volAvg,1730196
mktCap,9517534181
lastDiv,0.40900000000000003
range,104.29-138.74
changes,1.75
companyName,iShares Biotechnology ETF
currency,USD
cik,0001100663
isin,US4642875565
cusip,464287556
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund generally will invest at least 80% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IBB.png
ipoDate,2001-02-05
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
