,HTEC
symbol,HTEC
price,31.07
beta,0
volAvg,22622
mktCap,0
lastDiv,0.023
range,25.65-39.0
changes,0.33
companyName,Robo Global Healthcare Technology and Innovation ETF
currency,USD
cik,
isin,US3015057231
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund will normally invest at least 80% of its total assets in securities of the index or in depositary receipts representing securities of the index. The index is designed to measure the performance of companies that have a portion of their business and revenue derived from the field of healthcare technology, and the potential to grow within this space through innovation and market adoption of such companies’ products and services. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/HTEC.png
ipoDate,2019-06-25
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
