,CYA
symbol,CYA
price,10.71
beta,0
volAvg,61849
mktCap,0
lastDiv,1.5419999999999998
range,10.71-23.39
changes,-0.195
companyName,Simplify Tail Risk Strategy ETF
currency,USD
cik,
isin,
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund is an actively managed, fund of funds ETF that seeks to achieve its investment objective by investing in fixed income and income generating ETFs. The fund will invest between 50-90% of its assets in income generating ETFs including affiliated funds managed by the adviser. The fund may invest up to 20% of its portfolio in derivatives to hedge all or some of the downside risks associated with investing in equity securities commonly known as “tail risk”."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/CYA.png
ipoDate,
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
