,SHV
symbol,SHV
price,110.28
beta,0
volAvg,3340044
mktCap,0
lastDiv,1.21
range,109.73-110.35
changes,0.01
companyName,iShares Short Treasury Bond ETF
currency,USD
cik,
isin,US4642886794
cusip,464288679
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund will invest at least 80% of its assets in the component securities of the underlying index, and it will invest at least 90% of its assets in U.S. Treasury securities that BFA believes will help the fund track the underlying index. The index measures the performance of public obligations of the U.S. Treasury that have a remaining maturity of less than or equal to one year."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SHV.png
ipoDate,2007-01-05
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
