,AVUV
symbol,AVUV
price,81.9
beta,0
volAvg,378340
mktCap,0
lastDiv,1.296
range,65.11-82.825
changes,2.05
companyName,Avantis U.S. Small Cap Value ETF
currency,USD
cik,0001710607
isin,US0250728773
cusip,025072877
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests primarily in a diverse group of U.S. small cap companies across market sectors and industry groups. Under normal market conditions, it will invest at least 80% of its assets in securities of small capitalization companies located in the United States. The fund also may invest in derivative instruments such as futures contracts, currency forwards, and swap agreements."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/AVUV.png
ipoDate,2019-09-24
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
