,DXD
symbol,DXD
price,40.91
beta,0
volAvg,510321
mktCap,128425490
lastDiv,0.107
range,39.24-58.79
changes,-0.01
companyName,ProShares UltraShort Dow30
currency,USD
cik,
isin,US74347B2768
cusip,74347B276
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index is a price-weighted index and includes 30 large-cap, ""blue-chip"" U.S. stocks, excluding utility and transportation companies. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DXD.png
ipoDate,2006-07-11
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
