,PEY
symbol,PEY
price,21.38
beta,0
volAvg,399862
mktCap,992032021
lastDiv,0.8669999999999999
range,18.53-22.68
changes,0.36
companyName,Invesco High Yield Equity Dividend Achievers ETF
currency,USD
cik,
isin,US46137V5637
cusip,46137V563
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. Strictly in accordance with its guidelines and mandated procedures, Nasdaq, Inc. includes common stocks in the underlying index that have a consistent record of dividend increases, principally on the basis of dividend yield and consistent growth in dividends."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PEY.png
ipoDate,2004-12-09
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
