,SCHG
symbol,SCHG
price,61.08
beta,0
volAvg,1394800
mktCap,0
lastDiv,0.306
range,53.18-76.9
changes,1.06
companyName,Schwab U.S. Large-Cap Growth ETF
currency,USD
cik,
isin,US8085243009
cusip,808524300
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"To pursue its goal, the fund generally invests in stocks that are included in the Dow Jones U.S. Large-Cap Growth Total Stock Market Index. The index includes the large-cap growth portion of the Dow Jones U.S. Total Stock Market Index actually available to investors in the marketplace. The Dow Jones U.S. Large-Cap Growth Total Stock Market Index includes the components ranked 1-750 by full market capitalization and that are classified as ""growth"" based on a number of factors."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SCHG.png
ipoDate,2009-12-11
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
