,AOK
symbol,AOK
price,35.07
beta,0
volAvg,578968
mktCap,496203957
lastDiv,0.5700000000000001
range,31.85-39.07
changes,0.18
companyName,iShares Core Conservative Allocation ETF
currency,USD
cik,
isin,US4642898831
cusip,464289883
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund is a fund of funds and seeks its investment objective by investing primarily in underlying funds that themselves seek investment results corresponding to their own respective underlying indexes. It generally will invest at least 80% of its assets in the component securities of its underlying index. The index measures the performance of the S&P Dow Jones Indices LLC proprietary allocation model.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/AOK.png
ipoDate,2008-11-04
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
