,XOP
symbol,XOP
price,140.97
beta,0
volAvg,4488352
mktCap,9938384859
lastDiv,3.3529999999999998
range,104.53-170.62
changes,2.14
companyName,SPDR S&P Oil & Gas Exploration & Production ETF
currency,USD
cik,
isin,US78464A7303
cusip,78468R556
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"In seeking to track the performance of the S&P Oil & Gas Exploration & Production Select Industry Index, the fund employs a sampling strategy. It generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index represents the oil and gas exploration and production segment of the S&P Total Market Index (""S&P TMI"")."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XOP.png
ipoDate,2006-06-19
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
