,HYLD
symbol,HYLD
price,27.09
beta,0
volAvg,12944
mktCap,0
lastDiv,2.0399999999999996
range,25.47-30.28
changes,0.02
companyName,High Yield ETF
currency,USD
cik,
isin,US30151E8140
cusip,30151E814
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The Sub-Advisor seeks to achieve the fund's investment objective by selecting a focused portfolio of high-yield debt securities, which include senior and subordinated corporate debt obligations (such as loans, bonds, debentures, notes and commercial paper). The fund does not have any portfolio maturity limitation and may invest its assets in instruments with short-term, medium-term or long-term maturities. It invests at least 80% of its net assets (plus any borrowings for investment purposes) in high-yield debt securities."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/HYLD.png
ipoDate,2010-11-30
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
