,FOVL
symbol,FOVL
price,56.82
beta,0
volAvg,1331
mktCap,0
lastDiv,1.7199999999999998
range,45.01-61.596
changes,1.1868
companyName,iShares Focused Value Factor ETF
currency,USD
cik,
isin,US46435U3335
cusip,46435U333
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The underlying index measures the performance of large- and mid-capitalization U.S. companies with prominent value factor characteristics, as determined by Russell. The fund invests at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FOVL.png
ipoDate,2019-03-21
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
