,GLTR
symbol,GLTR
price,90.95
beta,0
volAvg,52808
mktCap,354044157
lastDiv,0
range,77.57-107.47
changes,0.48
companyName,abrdn Physical Precious Metals Basket Shares ETF
currency,USD
cik,0001483386
isin,US0032631006
cusip,003263100
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The Shares are intended to offer investors an opportunity to participate in the gold, silver, platinum and palladium markets through an investment in securities. The Shares are intended to provide institutional and retail investors with a simple and cost-efficient means, with minimal credit risk, of gaining investment benefits similar to those of holding physical Bullion metals in the proportions held by the Trust."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,3.05176e-06
dcf,88.3
image,https://financialmodelingprep.com/image-stock/GLTR.png
ipoDate,2010-10-22
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
