,ZHDG
symbol,ZHDG
price,16.51
beta,0
volAvg,37445
mktCap,0
lastDiv,0.567
range,15.63-20.34
changes,0.22
companyName,ZEGA Buy and Hedge ETF
currency,USD
cik,
isin,
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in a combination of options, as well as fixed income securities, or other income producing securities, including preferred shares, through ETFs or other investment companies or through direct investments. The sub-adviser seeks to achieve exposure to the performance of the U.S. large capitalization equity market, generally recognized as the S&P 500® Index, through call index options, call options on the SPDR S&P 500 ETF Trust or other ETFs that track the S&P 500, and FLexible EXchange® Options. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ZHDG.png
ipoDate,2021-07-07
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
