,EWT
symbol,EWT
price,44.81
beta,0
volAvg,3451829
mktCap,3808849910
lastDiv,7.558
range,39.75-66.76
changes,-0.05
companyName,iShares MSCI Taiwan ETF
currency,USD
cik,
isin,US46434G7723
cusip,46434G772
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index is designed to measure the performance of the large- and mid-capitalization segments of the Taiwanese equity market. The fund is non-diversified.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/EWT.png
ipoDate,2000-06-20
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
