,PULS
symbol,PULS
price,49.41
beta,0
volAvg,1105195
mktCap,0
lastDiv,0.984
range,48.88-49.45
changes,0.05
companyName,PGIM Ultra Short Bond ETF
currency,USD
cik,
isin,US69344A1079
cusip,69344A107
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests primarily in a portfolio of investment grade, U.S. dollar denominated short-term fixed, variable and floating rate debt instruments. Under normal market conditions, it invests at least 80% of its investable assets in bonds with varying maturities. Although the fund may invest in instruments of any duration or maturity, it normally will seek to maintain a weighted average portfolio duration of one year or less and a weighted average maturity of three years or less."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PULS.png
ipoDate,2018-04-05
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
