,IJAN
symbol,IJAN
price,28.51
beta,0
volAvg,49203
mktCap,266081321
lastDiv,0
range,22.76-28.53
changes,0.2453
companyName,Innovator International Developed Power Buffer ETF - January
currency,USD
cik,
isin,US45782C5242
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests at least 80% of its net assets in FLexible EXchange® Options (""FLEX Options"") that reference the iShares MSCI EAFE ETF (the ""Underlying ETF""). FLEX Options are exchange-traded options contracts with uniquely customizable terms. The Underlying ETF is an exchange-traded fund which seeks to track a quarterly reviewed index designed to represent the performance of large and mid-cap securities across 21 developed markets. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IJAN.png
ipoDate,2020-01-02
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
