,FSB.TO
symbol,FSB.TO
price,9.59
beta,0
volAvg,25346
mktCap,0
lastDiv,0.2310000000000001
range,9.41-9.9
changes,0.01
companyName,CI First Asset Enhanced Short Duration Bond Fund ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FSB.TO.png
ipoDate,2017-09-12
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
