,IYR
symbol,IYR
price,92.9
beta,0.809031
volAvg,5803918
mktCap,4584614907
lastDiv,2.455
range,75.66-113.13
changes,0.31
companyName,iShares U.S. Real Estate ETF
currency,USD
cik,
isin,US4642877397
cusip,464287739
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund seeks to track the investment results of the Dow Jones U.S. Real Estate Capped Index, which measures the performance of the real estate sector of the U.S. equity market, as defined by the ""index provider"". It generally invests at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IYR.png
ipoDate,2000-06-12
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
