,IWL
symbol,IWL
price,96.3
beta,0
volAvg,95626
mktCap,0
lastDiv,1.3809999999999998
range,82.54-110.6
changes,0.77
companyName,iShares Russell Top 200 ETF
currency,USD
cik,
isin,US4642894467
cusip,464289446
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The index measures the performance of the largest capitalization sector of the U.S. equity market, as defined by Russell. The fund generally will invest at least 80% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IWL.png
ipoDate,2009-09-22
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
