,UYG
symbol,UYG
price,53.13
beta,0
volAvg,24309
mktCap,0
lastDiv,0.351
range,35.38-70.59
changes,1.54
companyName,ProShares Ultra Financials
currency,USD
cik,
isin,US74347X6334
cusip,74347X633
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index is designed to measure the stock performance of U.S. companies in the financials industry. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/UYG.png
ipoDate,2007-01-30
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
