,XHB
symbol,XHB
price,69.45
beta,0
volAvg,2681249
mktCap,0
lastDiv,0.639
range,51.23-75.13
changes,3.16
companyName,SPDR S&P Homebuilders ETF
currency,USD
cik,
isin,US78464A8889
cusip,78464A888
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"In seeking to track the performance of the S&P Homebuilders Select Industry Index (the ""index""), the fund employs a sampling strategy. It generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index represents the homebuilders segment of the S&P Total Market Index (""S&P TMI"")."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XHB.png
ipoDate,2006-01-31
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
