,TPOR
symbol,TPOR
price,27.27
beta,0
volAvg,23837
mktCap,0
lastDiv,0.009
range,16.71-52.49
changes,2.37
companyName,Direxion Daily Transportation Bull 3X Shares
currency,USD
cik,0001424958
isin,US25460E6793
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests at least 80% of its net assets (plus borrowing for investment purposes) in financial instruments, such as swap agreements, securities of the index, and exchange-traded funds (""ETFs"") that track the index and other financial instruments that provide daily leveraged exposure to the index or to ETFs that track the index. The index is designed to measure stocks in the S&P Total Market Index that are included in the GICS transportation sub-industry. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/TPOR.png
ipoDate,2017-05-03
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
