,BKCI
symbol,BKCI
price,46.1
beta,0
volAvg,4350
mktCap,0
lastDiv,0
range,35.52-49.05
changes,0.1394
companyName,BNY Mellon Concentrated International ETF
currency,USD
cik,0001493580
isin,
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund normally invests primarily in equity securities of foreign companies located in developed markets, excluding the U.S. The adviser considers ""developed markets"" to be countries included in the Morgan Stanley Capital International (MSCI) Europe, Australasia and Far East (EAFE®) Index and Canada. The fund may invest in equity securities of companies of any market capitalization. The fund is non-diversified."
ceo,
sector,
country,
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BKCI.png
ipoDate,2021-12-09
defaultImage,True
isEtf,True
isActivelyTrading,False
isAdr,False
isFund,False
