,FCGB.TO
symbol,FCGB.TO
price,22.51
beta,0
volAvg,35658
mktCap,0
lastDiv,0.7470000000000003
range,20.7-24.78
changes,0.12
companyName,Fidelity Global Core Plus Bond ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FCGB.TO.png
ipoDate,2019-09-25
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
