,FTC
symbol,FTC
price,95.51
beta,0
volAvg,41860
mktCap,0
lastDiv,0.828
range,84.56-110.0
changes,1.52
companyName,First Trust Large Cap Growth AlphaDEX Fund
currency,USD
cik,
isin,US33735K1088
cusip,33735K108
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks that comprise the index. The index is designed to select growth stocks from the NASDAQ US 500 Large Cap Index TM (the ""base index"") that may generate positive alpha, or risk-adjusted returns, relative to traditional indices through the use of the AlphaDEX® selection methodology."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FTC.png
ipoDate,2007-05-08
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
