,TQQQ
symbol,TQQQ
price,22.91
beta,0
volAvg,198700790
mktCap,0
lastDiv,0.098
range,16.1-65.37
changes,0.98
companyName,ProShares UltraPro QQQ
currency,USD
cik,
isin,US74347X8314
cusip,74347X831
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index includes 100 of the largest domestic and international non-financial companies listed on The Nasdaq Stock Market based on market capitalization. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/TQQQ.png
ipoDate,2010-02-09
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
