,EWZS
symbol,EWZS
price,12.97
beta,0
volAvg,87496
mktCap,92437333
lastDiv,0.539
range,10.68-17.97
changes,0.32
companyName,iShares MSCI Brazil Small-Cap ETF
currency,USD
cik,
isin,US4642891315
cusip,464289131
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,The fund generally will invest at least 80% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index is a free float-adjusted market capitalization-weighted index designed to measure primarily the performance of equity securities of small capitalization companies listed on stock exchanges in Brazil.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/EWZS.png
ipoDate,2010-09-29
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
