,KIE
symbol,KIE
price,43.45
beta,0
volAvg,1020126
mktCap,0
lastDiv,0.777
range,35.38-43.45
changes,0.7
companyName,SPDR S&P Insurance ETF
currency,USD
cik,
isin,US78464A7899
cusip,78464A789
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"In seeking to track the performance of the S&P Insurance Select Industry Index (the ""index""), the fund employs a sampling strategy. It generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index represents the insurance segment of the S&P Total Market Index (""S&P TMI"")."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/KIE.png
ipoDate,2005-11-08
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
