,EZM
symbol,EZM
price,54.06
beta,0
volAvg,37026
mktCap,1191293568
lastDiv,0.761
range,43.61-56.41
changes,1.42
companyName,WisdomTree U.S. MidCap Earnings Fund
currency,USD
cik,
isin,US97717W5702
cusip,97717W570
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal circumstances, at least 95% of the fund's total assets (exclusive of collateral held from securities lending) will be invested in component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. The index is a fundamentally weighted index that is comprised of earnings-generating companies within the mid-capitalization segment of the U.S. stock market. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/EZM.png
ipoDate,2007-02-23
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
