,DUHP
symbol,DUHP
price,25.2
beta,0
volAvg,555514
mktCap,0
lastDiv,0.265
range,21.09-26.89
changes,0.32
companyName,Dimensional US High Profitability ETF
currency,USD
cik,
isin,
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The portfolio is designed to purchase a broad and diverse group of readily marketable securities of large U.S. companies that the Advisor determines to have high profitability relative to other U.S. large cap companies at the time of purchase. As a non-fundamental policy, under normal circumstances, the portfolio will invest at least 80% of its net assets in securities of U.S. companies."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DUHP.png
ipoDate,
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
