,PSCE
symbol,PSCE
price,10.79
beta,0
volAvg,171370
mktCap,0
lastDiv,0.17400000000000002
range,7.62-12.55
changes,0.28
companyName,Invesco S&P SmallCap Energy ETF
currency,USD
cik,
isin,US46138E1644
cusip,46138E164
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. Strictly in accordance with its guidelines and mandated procedures, S&P Dow Jones Indices, LLC (the “index provider”) compiles, maintains and calculates the underlying index, which is designed to measure the performance of securities of small-capitalization U.S. companies in the energy sector, as defined by the Global Industry Classification Standard (“GICS ® ”). It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PSCE.png
ipoDate,2010-04-07
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
