,ZSL
symbol,ZSL
price,19.64
beta,0
volAvg,344322
mktCap,0
lastDiv,0
range,18.22-41.76
changes,-0.26
companyName,ProShares UltraShort Silver
currency,USD
cik,0001415311
isin,US74347W1146
cusip,83413U100
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund seeks to meet its investment objective by investing under normal market conditions in any one of, or combinations of, Financial Instruments (including swap agreements, futures contracts and forward contracts) based on the fund’s benchmark."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ZSL.png
ipoDate,2008-12-03
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
