,TZA
symbol,TZA
price,26.44
beta,0
volAvg,10141744
mktCap,0
lastDiv,0.664
range,26.4-53.15
changes,-2.04
companyName,Direxion Daily Small Cap Bear 3X Shares
currency,USD
cik,0001424958
isin,US25460E2321
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in swap agreements, futures contracts, short positions or other financial instruments that, in combination, provide inverse (opposite) or short leveraged exposure to the index equal to at least 80% of the fund's net assets (plus borrowing for investment purposes). The index measures the performance of approximately 2,000 small-capitalization companies in the Russell 3000® Index, based on a combination of their market capitalization. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/TZA.png
ipoDate,2008-11-05
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
