,100D.L
symbol,100D.L
price,11632
beta,0
volAvg,812
mktCap,0
lastDiv,0
range,112.39-11758.0
changes,-23
companyName,Multi Units Luxembourg - Lyxor FTSE 100 UCITS Fund
currency,GBp
cik,
isin,
cusip,
exchange,London Stock Exchange
exchangeShortName,LSE
industry,
website,
description,NA
ceo,
sector,
country,
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/100D.L.png
ipoDate,2017-11-09
defaultImage,True
isEtf,True
isActivelyTrading,False
isAdr,False
isFund,False
