,HYLS
symbol,HYLS
price,40.7
beta,0
volAvg,308258
mktCap,0
lastDiv,2.862
range,38.07-47.24
changes,0.265
companyName,First Trust Tactical High Yield ETF
currency,USD
cik,
isin,US33738D4088
cusip,33738D408
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"Under normal market conditions, the fund invests at least 80% of its net assets (including investment borrowings) in high yield debt securities that are rated below investment grade at the time of purchase or unrated securities deemed by the fund's advisor to be of comparable quality."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/HYLS.png
ipoDate,2013-02-27
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
