,SDP
symbol,SDP
price,11.27
beta,0
volAvg,18854
mktCap,0
lastDiv,0.061
range,9.57-15.4
changes,-0.17
companyName,ProShares UltraShort Utilities
currency,USD
cik,
isin,US74347G7218
cusip,74347B722
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index is designed to measure the stock performance of U.S. companies in the utilities industry. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SDP.png
ipoDate,2007-01-30
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
