,RZB
symbol,RZB
price,26.14
beta,0.233609
volAvg,41952
mktCap,9188184696
lastDiv,1.436
range,22.67-29.03
changes,0.05
companyName,"Reinsurance Group of America, Incorporated"
currency,USD
cik,0000898174
isin,US7593518027
cusip,759351802
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,
website,
description,
ceo,None
sector,
country,US
fullTimeEmployees,
phone,
address,
city,
state,
zip,
dcfDiff,45.1325
dcf,70.9125
image,https://financialmodelingprep.com/image-stock/RZB.png
ipoDate,2016-06-13
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
