,AVDE
symbol,AVDE
price,57.85
beta,0
volAvg,235506
mktCap,0
lastDiv,1.486
range,44.63-63.503
changes,0.33
companyName,Avantis International Equity ETF
currency,USD
cik,0001710607
isin,US0250727031
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests primarily in a diverse group of non-U.S. companies across countries, market sectors and industry groups. It may invest in companies of all market capitalizations. Under normal market conditions, the fund will invest at least 80% of its assets in equity securities. It also may invest in derivative instruments such as futures contracts, currency forwards, and swap agreements."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/AVDE.png
ipoDate,2019-09-24
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
