,IBDP
symbol,IBDP
price,24.63
beta,0
volAvg,595772
mktCap,0
lastDiv,0.4539999999999999
range,24.16-25.68
changes,-0.01
companyName,iShares iBonds Dec 2024 Term Corporate ETF
currency,USD
cik,
isin,US46434VBG41
cusip,46434VBG4
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund will invest at least 80% of its assets in the component securities of the underlying index, and it will invest at least 90% of its assets in fixed income securities of the types included in the underlying index that BFA believes will help the fund track the underlying index. The underlying index is composed of U.S. dollar-denominated, taxable, investment-grade corporate bonds scheduled to mature between January 1, 2024 and December 15, 2024, inclusive."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IBDP.png
ipoDate,2015-03-11
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
