,TBT
symbol,TBT
price,28.01
beta,0
volAvg,3747581
mktCap,0
lastDiv,0.136
range,17.8-39.32
changes,-0.46
companyName,ProShares UltraShort 20+ Year Treasury
currency,USD
cik,
isin,US74347B2016
cusip,74347B201
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index includes publicly-issued U.S. Treasury securities that have a remaining maturity greater than or equal to twenty years and have $300 million or more of outstanding face value, excluding amounts held by the Federal Reserve. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/TBT.png
ipoDate,2008-05-01
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
