,FTA
symbol,FTA
price,71.6
beta,0
volAvg,104691
mktCap,0
lastDiv,1.4160000000000001
range,57.18-73.31
changes,1.15
companyName,First Trust Large Cap Value AlphaDEX Fund
currency,USD
cik,
isin,US33735J1016
cusip,33735J101
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks that comprise the index. The index is designed to select value stocks from the NASDAQ US 500 Large Cap Index TM (the ""base index"") that may generate positive alpha, or risk-adjusted returns, relative to traditional indices through the use of the AlphaDEX® selection methodology."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FTA.png
ipoDate,2007-05-08
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
