,RWR
symbol,RWR
price,96.64
beta,0.881392
volAvg,202952
mktCap,2510861824
lastDiv,3.32
range,79.15-122.07
changes,1.89
companyName,SPDR Dow Jones REIT ETF
currency,USD
cik,
isin,US78464A6073
cusip,78464A607
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index is designed to provide a measure of real estate securities that serve as proxies for direct real estate investing, in part by excluding securities whose value is not always closely tied to the value of the underlying real estate."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/RWR.png
ipoDate,2001-04-23
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
