,MIDU
symbol,MIDU
price,45.27
beta,0
volAvg,32096
mktCap,0
lastDiv,0.038
range,27.2-62.74
changes,2.96
companyName,Direxion Daily Mid Cap Bull 3X Shares
currency,USD
cik,0001424958
isin,US25459W7305
cusip,25459W730
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund, under normal circumstances, invests at least 80% of its net assets (plus borrowing for investment purposes) in financial instruments, such as swap agreements, securities of the index, exchange-traded funds (""ETFs"") that track the index and other financial instruments that provide daily leveraged exposure to the index or to ETFs that track the index. The index measures the performance of 400 mid-sized companies in the United States. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/MIDU.png
ipoDate,2009-01-08
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
